source_url,school,school_ar,school_city,school_city_ar,school_country,school_country_ar,region,title,title_ar,summary,summary_ar,subject,format,start,end,days,price,currency,langs,audience,audience_ar,highlights,highlights_ar,rating,reviews,scraped_at,extraction
https://www.unsw.edu.au/study/professional-development/course/strategic-adaptive-leadership,"AGSM, University of New South Wales",كلية الدراسات العليا الأسترالية للإدارة (AGSM),Sydney,سيدني,Australia,أستراليا,oceania,Strategic & Adaptive Leadership,القيادة الاستراتيجية والتكيّفية,"A 3-day on-campus program from AGSM, University of New South Wales, running 16 September 2026 to 18 September 2026.",برنامج حضوري لمدة 3 أيام من كلية الدراسات العليا الأسترالية للإدارة (AGSM)، من 16 سبتمبر 2026 إلى 18 سبتمبر 2026.,leadership,in-person,2026-09-16,2026-09-18,3,5150,AUD,en,,,,,,,2026-09-14T00:00:00Z,school-page
https://www.unsw.edu.au/study/professional-development/course/emerging-leader-program,"AGSM, University of New South Wales",كلية الدراسات العليا الأسترالية للإدارة (AGSM),Sydney,سيدني,Australia,أستراليا,oceania,Emerging Leader Program,برنامج القائد الصاعد,"A 4-day on-campus program from AGSM, University of New South Wales, running 22 September 2026 to 25 September 2026.",برنامج حضوري لمدة 4 أيام من كلية الدراسات العليا الأسترالية للإدارة (AGSM)، من 22 سبتمبر 2026 إلى 25 سبتمبر 2026.,leadership,in-person,2026-09-22,2026-09-25,4,7150,AUD,en,,,,,,,2026-09-14T00:00:00Z,school-page
https://www.unsw.edu.au/study/professional-development/course/ai-for-board-directors,"AGSM, University of New South Wales",كلية الدراسات العليا الأسترالية للإدارة (AGSM),Sydney,سيدني,Australia,أستراليا,oceania,AI for Board Directors,الذكاء الاصطناعي لأعضاء مجالس الإدارة,"A 2-day on-campus program from AGSM, University of New South Wales, running 24 September 2026 to 25 September 2026.",برنامج حضوري لمدة يومين من كلية الدراسات العليا الأسترالية للإدارة (AGSM)، من 24 سبتمبر 2026 إلى 25 سبتمبر 2026.,leadership,in-person,2026-09-24,2026-09-25,2,3950,AUD,en,,,,,,,2026-09-14T00:00:00Z,school-page
https://www.unsw.edu.au/study/professional-development/course/design-thinking-experimentation,"AGSM, University of New South Wales",كلية الدراسات العليا الأسترالية للإدارة (AGSM),Sydney,سيدني,Australia,أستراليا,oceania,Design Thinking & Experimentation,التفكير التصميمي والتجريب,"A 3-day on-campus program from AGSM, University of New South Wales, running 13 October 2026 to 15 October 2026.",برنامج حضوري لمدة 3 أيام من كلية الدراسات العليا الأسترالية للإدارة (AGSM)، من 13 أكتوبر 2026 إلى 15 أكتوبر 2026.,entrepreneurship,in-person,2026-10-13,2026-10-15,3,5150,AUD,en,,,,,,,2026-09-14T00:00:00Z,school-page
https://www.unsw.edu.au/study/professional-development/course/the-authentic-communicator-activating-presence,"AGSM, University of New South Wales",كلية الدراسات العليا الأسترالية للإدارة (AGSM),Sydney,سيدني,Australia,أستراليا,oceania,The Authentic Communicator: Activating Presence,المتواصل الأصيل: تفعيل الحضور,"A 2-day on-campus program from AGSM, University of New South Wales, running 13 October 2026 to 14 October 2026.",برنامج حضوري لمدة يومين من كلية الدراسات العليا الأسترالية للإدارة (AGSM)، من 13 أكتوبر 2026 إلى 14 أكتوبر 2026.,leadership,in-person,2026-10-13,2026-10-14,2,3950,AUD,en,,,,,,,2026-09-14T00:00:00Z,school-page
https://www.unsw.edu.au/study/professional-development/course/project-management-excellence,"AGSM, University of New South Wales",كلية الدراسات العليا الأسترالية للإدارة (AGSM),Sydney,سيدني,Australia,أستراليا,oceania,Project Management Excellence,التميّز في إدارة المشاريع,"A 2-day on-campus program from AGSM, University of New South Wales, running 19 October 2026 to 20 October 2026.",برنامج حضوري لمدة يومين من كلية الدراسات العليا الأسترالية للإدارة (AGSM)، من 19 أكتوبر 2026 إلى 20 أكتوبر 2026.,operations,in-person,2026-10-19,2026-10-20,2,3950,AUD,en,,,,,,,2026-09-14T00:00:00Z,school-page
https://www.unsw.edu.au/study/professional-development/course/tackling-complexity-through-leadership,"AGSM, University of New South Wales",كلية الدراسات العليا الأسترالية للإدارة (AGSM),Sydney,سيدني,Australia,أستراليا,oceania,Tackling Complexity through Leadership,مواجهة التعقيد بالقيادة,"A 2-day on-campus program from AGSM, University of New South Wales, running 21 October 2026 to 22 October 2026.",برنامج حضوري لمدة يومين من كلية الدراسات العليا الأسترالية للإدارة (AGSM)، من 21 أكتوبر 2026 إلى 22 أكتوبر 2026.,leadership,in-person,2026-10-21,2026-10-22,2,3950,AUD,en,,,,,,,2026-09-14T00:00:00Z,school-page
https://www.unsw.edu.au/study/professional-development/course/general-manager-program,"AGSM, University of New South Wales",كلية الدراسات العليا الأسترالية للإدارة (AGSM),Sydney,سيدني,Australia,أستراليا,oceania,General Manager Program,برنامج المدير العام,"A 5-day on-campus program from AGSM, University of New South Wales, running 26 October 2026 to 30 October 2026.",برنامج حضوري لمدة 5 أيام من كلية الدراسات العليا الأسترالية للإدارة (AGSM)، من 26 أكتوبر 2026 إلى 30 أكتوبر 2026.,leadership,in-person,2026-10-26,2026-10-30,5,14990,AUD,en,,,,,,,2026-09-14T00:00:00Z,school-page
https://www.unsw.edu.au/study/professional-development/course/essentials-of-finance-for-non-finance-managers,"AGSM, University of New South Wales",كلية الدراسات العليا الأسترالية للإدارة (AGSM),Sydney,سيدني,Australia,أستراليا,oceania,Essentials of Finance for Non-Finance Managers,أساسيات المالية للمديرين غير الماليين,"A 3-day on-campus program from AGSM, University of New South Wales, running 4 November 2026 to 6 November 2026.",برنامج حضوري لمدة 3 أيام من كلية الدراسات العليا الأسترالية للإدارة (AGSM)، من 4 نوفمبر 2026 إلى 6 نوفمبر 2026.,finance,in-person,2026-11-04,2026-11-06,3,5150,AUD,en,,,,,,,2026-09-14T00:00:00Z,school-page
https://www.unsw.edu.au/study/professional-development/course/executing-strategy-for-results,"AGSM, University of New South Wales",كلية الدراسات العليا الأسترالية للإدارة (AGSM),Sydney,سيدني,Australia,أستراليا,oceania,Executing Strategy for Results,تنفيذ الاستراتيجية لتحقيق النتائج,"A 2-day on-campus program from AGSM, University of New South Wales, running 5 November 2026 to 6 November 2026.",برنامج حضوري لمدة يومين من كلية الدراسات العليا الأسترالية للإدارة (AGSM)، من 5 نوفمبر 2026 إلى 6 نوفمبر 2026.,strategy,in-person,2026-11-05,2026-11-06,2,3950,AUD,en,,,,,,,2026-09-14T00:00:00Z,school-page
https://www.unsw.edu.au/study/professional-development/course/data-governance-for-leaders,"AGSM, University of New South Wales",كلية الدراسات العليا الأسترالية للإدارة (AGSM),Sydney,سيدني,Australia,أستراليا,oceania,Data Governance for Leaders,حوكمة البيانات للقادة,"A 2-day on-campus program from AGSM, University of New South Wales, running 12 November 2026 to 13 November 2026.",برنامج حضوري لمدة يومين من كلية الدراسات العليا الأسترالية للإدارة (AGSM)، من 12 نوفمبر 2026 إلى 13 نوفمبر 2026.,data,in-person,2026-11-12,2026-11-13,2,3950,AUD,en,,,,,,,2026-09-14T00:00:00Z,school-page
https://www.unsw.edu.au/study/professional-development/course/accelerated-leadership-program,"AGSM, University of New South Wales",كلية الدراسات العليا الأسترالية للإدارة (AGSM),Sydney,سيدني,Australia,أستراليا,oceania,Accelerated Leadership Program,البرنامج المُعجّل للقيادة,"A 5-day on-campus program from AGSM, University of New South Wales, running 16 November 2026 to 20 November 2026.",برنامج حضوري لمدة 5 أيام من كلية الدراسات العليا الأسترالية للإدارة (AGSM)، من 16 نوفمبر 2026 إلى 20 نوفمبر 2026.,leadership,in-person,2026-11-16,2026-11-20,5,8990,AUD,en,,,,,,,2026-09-14T00:00:00Z,school-page
https://www.unsw.edu.au/study/professional-development/course/shaping-strategy-to-create-value,"AGSM, University of New South Wales",كلية الدراسات العليا الأسترالية للإدارة (AGSM),Sydney,سيدني,Australia,أستراليا,oceania,Shaping Strategy to Create Value,صياغة الاستراتيجية لخلق القيمة,"A 3-day on-campus program from AGSM, University of New South Wales, running 16 November 2026 to 18 November 2026.",برنامج حضوري لمدة 3 أيام من كلية الدراسات العليا الأسترالية للإدارة (AGSM)، من 16 نوفمبر 2026 إلى 18 نوفمبر 2026.,strategy,in-person,2026-11-16,2026-11-18,3,5150,AUD,en,,,,,,,2026-09-14T00:00:00Z,school-page
https://www.unsw.edu.au/study/professional-development/course/building-an-ai-strategy,"AGSM, University of New South Wales",كلية الدراسات العليا الأسترالية للإدارة (AGSM),Sydney,سيدني,Australia,أستراليا,oceania,Building an AI Strategy,بناء استراتيجية للذكاء الاصطناعي,"A 3-day on-campus program from AGSM, University of New South Wales, running 17 November 2026 to 19 November 2026.",برنامج حضوري لمدة 3 أيام من كلية الدراسات العليا الأسترالية للإدارة (AGSM)، من 17 نوفمبر 2026 إلى 19 نوفمبر 2026.,digital,in-person,2026-11-17,2026-11-19,3,5150,AUD,en,,,,,,,2026-09-14T00:00:00Z,school-page
https://www.unsw.edu.au/study/professional-development/course/adaptive-leadership-program,"AGSM, University of New South Wales",كلية الدراسات العليا الأسترالية للإدارة (AGSM),Sydney,سيدني,Australia,أستراليا,oceania,Adaptive Leadership Program,برنامج القيادة التكيفية,"A 4-day on-campus program from AGSM, University of New South Wales, running 23 November 2026 to 26 November 2026.",برنامج حضوري لمدة 4 أيام من كلية الدراسات العليا الأسترالية للإدارة (AGSM)، من 23 نوفمبر 2026 إلى 26 نوفمبر 2026.,leadership,in-person,2026-11-23,2026-11-26,4,7950,AUD,en,,,,,,,2026-09-14T00:00:00Z,school-page
