c-change-management,Change Management,days outside catalogue range (25); 98 USD/day implausible (1950 CHF over 25 days)
c-crisis-management,Crisis Management,days outside catalogue range (25); 98 USD/day implausible (1950 CHF over 25 days)
c-ai-strategies-from-analytics-to-agents,AI Strategies: From Analytics to Agents,days outside catalogue range (25); 98 USD/day implausible (1950 CHF over 25 days)
c-organizational-leadership,Organizational Leadership,days outside catalogue range (25); 98 USD/day implausible (1950 CHF over 25 days)
c-resilient-leadership-sprint,Resilient Leadership Sprint,119 USD/day implausible (950 CHF over 10 days)
c-leading-behavioral-change,Leading Behavioral Change,days outside catalogue range (40); 92 USD/day implausible (2950 CHF over 40 days)
c-inspirational-leadership,Inspirational Leadership,days outside catalogue range (40); 92 USD/day implausible (2950 CHF over 40 days)
c-advanced-leadership,Advanced Leadership,days outside catalogue range (25); 98 USD/day implausible (1950 CHF over 25 days)
c-leadership-essentials,Leadership Essentials,days outside catalogue range (25); 98 USD/day implausible (1950 CHF over 25 days)
c-driving-strategic-innovation,Driving Strategic Innovation,later session (2027-04-25) of a kept course
c-b2b-marketing-growth-strategies-for-yo,B2B Marketing: Growth Strategies for Your Organization,days outside catalogue range (45); 63 USD/day implausible (2850 USD over 45 days)
c-kellogg-accelerated-marketing-leadersh,Kellogg Accelerated Marketing Leadership Program,days outside catalogue range (120); 63 USD/day implausible (7550 USD over 120 days)
c-advertising-and-marketing-communicatio,Advertising and Marketing Communication Strategy,days outside catalogue range (40); 50 USD/day implausible (2000 USD over 40 days)
c-mastering-sales-the-digital-and-ai-too,Mastering Sales: The Digital and AI Toolkit for Success,days outside catalogue range (50); 56 USD/day implausible (2825 USD over 50 days)
c-ai-driven-product-strategy,AI-Driven Product Strategy,days outside catalogue range (45); 69 USD/day implausible (3100 USD over 45 days)
c-build-a-winning-brand,Build a Winning Brand,days outside catalogue range (30); 88 USD/day implausible (2650 USD over 30 days)
c-digital-marketing-strategies-data-auto,"Digital Marketing Strategies: Data, Automation, AI & Analytics",days outside catalogue range (45); 63 USD/day implausible (2850 USD over 45 days)
c-business-strategies-for-growth-fewer-b,"Business Strategies for Growth: Fewer, Bigger, Bolder",days outside catalogue range (35); 76 USD/day implausible (2650 USD over 35 days)
c-marketing-strategy-tactics,Marketing Strategy & Tactics,days outside catalogue range (60); 46 USD/day implausible (2750 USD over 60 days)
c-business-analytics-data-driven-strateg,Business Analytics: Data-Driven Strategy,days outside catalogue range (45); 60 USD/day implausible (2700 USD over 45 days)
c-advanced-strategic-leadership-harnessi,Advanced Strategic Leadership: Harnessing the Power of Foresight,days outside catalogue range (35)
c-advanced-human-resource-executive-prog,Advanced Human Resource Executive Program (Blended),days outside catalogue range (30)
c-human-resource-management-with-ai,Human Resource Management with AI,days outside catalogue range (90); 27 USD/day implausible (2400 USD over 90 days)
c-ai-for-talent-management-and-organizat,AI for Talent Management and Organizational Design,days outside catalogue range (25)
c-stanford-ignite-part-time,Stanford Ignite – Part-Time,days outside catalogue range (40)
c-business-analysis-fundamentals,Business Analysis Fundamentals,39 USD/day implausible (1095 CAD over 20 days)
c-lead-and-thrive-under-pressure,Lead and Thrive Under Pressure,days outside catalogue range (1)
c-change-management-assessing-and-planni,Change Management Assessing and Planning,39 USD/day implausible (1095 CAD over 20 days)
c-change-management-bootcamp,Change Management Bootcamp,days outside catalogue range (50); 63 USD/day implausible (4380 CAD over 50 days)
c-thinking-on-your-feet-communicating-in,Thinking on Your Feet: Communicating in a Dynamic Environment,days outside catalogue range (1)
c-structured-project-management,Structured Project Management,days outside catalogue range (25); 36 USD/day implausible (1250 CAD over 25 days)
c-agile-product-ownership,Agile Product Ownership,53 USD/day implausible (1095 CAD over 15 days)
c-agile-project-management,Agile Project Management,days outside catalogue range (25); 36 USD/day implausible (1250 CAD over 25 days)
c-applied-project-management,Applied Project Management,days outside catalogue range (30); 48 USD/day implausible (1995 CAD over 30 days)
c-principles-of-authentic-leadership,Principles of Authentic Leadership,days outside catalogue range (1)
c-project-management-fundamentals,Project Management Fundamentals,45 USD/day implausible (1250 CAD over 20 days)
c-agile-delivery-methods,Agile Delivery Methods,60 USD/day implausible (1250 CAD over 15 days)
c-business-analysis-planning-risk-manage,"Business Analysis Planning, Risk Management and Performance Improvement",45 USD/day implausible (1250 CAD over 20 days)
c-business-analysis-requirements-analysi,Business Analysis Requirements Analysis and Management,45 USD/day implausible (1250 CAD over 20 days)
c-change-management-implementing-and-eva,Change Management Implementing and Evaluating,39 USD/day implausible (1095 CAD over 20 days)
c-organizational-decision-systems,Organizational Decision Systems,days outside catalogue range (1); USD-equivalent price out of range (284)
c-managing-agile-delivery,Managing Agile Delivery,60 USD/day implausible (1250 CAD over 15 days)
c-leading-from-the-middle,Leading from the Middle,days outside catalogue range (25); 36 USD/day implausible (1250 CAD over 25 days)
c-strategic-thinking-for-project-leaders,Strategic Thinking for Project Leaders and Managers,days outside catalogue range (1)
c-ai-product-management-bootcamp,AI Product Management Bootcamp,days outside catalogue range (25); 72 USD/day implausible (2495 CAD over 25 days)
c-agile-business-analysis,Agile Business Analysis,39 USD/day implausible (1095 CAD over 20 days)
c-business-analysis-leadership-and-colla,Business Analysis Leadership and Collaboration,45 USD/day implausible (1250 CAD over 20 days)
c-fundamentals-of-behavioural-insights,Fundamentals of Behavioural Insights,48 USD/day implausible (995 CAD over 15 days)
c-leading-in-an-agile-organization,Leading in an Agile Organization,60 USD/day implausible (1250 CAD over 15 days)
c-business-intelligence-with-power-bi,Business Intelligence with Power BI,53 USD/day implausible (1095 CAD over 15 days)
c-change-management-fostering-culture-an,Change Management: Fostering Culture and Capability,39 USD/day implausible (1095 CAD over 20 days)
c-speak-to-lead,Speak to Lead,days outside catalogue range (1)
c-an-introduction-to-labour-relations,An Introduction to Labour Relations,days outside catalogue range (1)
c-change-management-fundamentals,Change Management Fundamentals,39 USD/day implausible (1095 CAD over 20 days)
c-quiet-strength-communication-strategie,Quiet Strength: Communication Strategies for Introverts,days outside catalogue range (1)
c-agentic-ai-strategy-applications-and-o,"Agentic AI: Strategy, Applications, and Organizational Impact",days outside catalogue range (25)
c-product-management-studio-program,Product Management Studio Program,days outside catalogue range (40); 92 USD/day implausible (3700 USD over 40 days)
c-compliance-management-day,Compliance Management Day,days outside catalogue range (1)
c-st-gallen-board-conference,St.Gallen Board Conference,days outside catalogue range (1)
c-hsg-fintech-summit,HSG Fintech Summit,days outside catalogue range (1); USD-equivalent price out of range (150)
c-st-gallen-board-retreat,St.Gallen Board Retreat,5375 USD/day implausible (12900 CHF over 3 days)
c-change-management,Change Management,days outside catalogue range (25); 98 USD/day implausible (1950 CHF over 25 days)
c-crisis-management,Crisis Management,days outside catalogue range (25); 98 USD/day implausible (1950 CHF over 25 days)
c-ai-strategies-from-analytics-to-agents,AI Strategies: From Analytics to Agents,days outside catalogue range (25); 98 USD/day implausible (1950 CHF over 25 days)
c-organizational-leadership,Organizational Leadership,days outside catalogue range (25); 98 USD/day implausible (1950 CHF over 25 days)
c-resilient-leadership-sprint,Resilient Leadership Sprint,119 USD/day implausible (950 CHF over 10 days)
c-leading-behavioral-change,Leading Behavioral Change,days outside catalogue range (40); 92 USD/day implausible (2950 CHF over 40 days)
c-inspirational-leadership,Inspirational Leadership,days outside catalogue range (40); 92 USD/day implausible (2950 CHF over 40 days)
c-advanced-leadership,Advanced Leadership,days outside catalogue range (25); 98 USD/day implausible (1950 CHF over 25 days)
c-leadership-essentials,Leadership Essentials,days outside catalogue range (25); 98 USD/day implausible (1950 CHF over 25 days)
c-driving-strategic-innovation,Driving Strategic Innovation,later session (2027-04-25) of a kept course
c-b2b-marketing-growth-strategies-for-yo,B2B Marketing: Growth Strategies for Your Organization,days outside catalogue range (45); 63 USD/day implausible (2850 USD over 45 days)
